[{type:"wea",code:"100",belone:"ATK",name:"皮革窄衣","detail":"用皮布制造的衣服。",myclass:"broke",getMoney:"300",imgPath:"equi/100.png"},
{type:"wea",code:"101",belone:"ATK",name:"神秘胸甲","detail":"一个破烂的胸甲。",myclass:"broke",getMoney:"350",imgPath:"equi/101.png"},
{type:"wea",code:"102",belone:"ATK",name:"阿凯尼的荣耀","detail":"“阿凯尼临死前，他的铠甲就被秘密地藏进了一处密室中。相传等到这副圣甲需要再一次现世时，一位英雄将会挺身而出，并且再度荣耀加身。也许你就是那个英雄……”。",myclass:"broke",getMoney:"350",imgPath:"equi/102.png"},
{type:"wea",code:"103",belone:"ATK",name:"巨鲸之神圣铠甲","detail":"这副铠甲是如此地强大，只有最足智多谋的冒险者才敢梦想得到它。",myclass:"broke",getMoney:"400",imgPath:"equi/103.png"},
{type:"wea",code:"104",belone:"ATK",name:"锁钢甲","detail":"这件铠甲的魔法属性令人好奇，它是由许多不同英雄的护甲组件拼合而成。。",myclass:"broke",getMoney:"350",imgPath:"equi/104.png"},
{type:"wea",code:"105",belone:"ATK",name:"天鹰斗衣","detail":"为纪念高德酋长战胜东方野人而打造的护甲。",myclass:"broke",getMoney:"450",imgPath:"equi/105.png"},
{type:"wea",code:"106",belone:"ATK",name:"安魂胸甲","detail":"虽然最初是用于帝王的陪葬，但它似乎被授予了一位拉斯玛祭司。而从这位拉斯玛祭司开始，它就成了一代又一代强大死灵法师的必备之物。",myclass:"broke",getMoney:"450",imgPath:"equi/106.png"},
{type:"wea",code:"107",belone:"ATK",name:"燃火外套","detail":"穿此甲者，狱火不侵。。",myclass:"broke",getMoney:"500",imgPath:"equi/107.png"},
{type:"wea",code:"108",belone:"ATK",name:"清水羽织","detail":"“濒死之际，须万念归一。”—武学家，清水。",myclass:"broke",getMoney:"500",imgPath:"equi/108.png"},
{type:"wea",code:"109",belone:"ATK",name:"摄政仁君之铠","detail":""尤伊，也就是所谓的托贝伊的‘摄政仁君’，这封号真讽刺到可以。他以折磨敌人为乐，不管受害者是真正的还是想象的敌人，还会定期随便抓一名苦工，将其拖到广场上折磨到死，以此震慑他的民众。尤伊自称摄政仁君，因为他真的认为自己仁慈爱民。当然，他已经疯得不轻了。"—迪卡德·凯恩。",myclass:"broke",getMoney:"500",imgPath:"equi/109.png"},
{type:"wea",code:"110",belone:"ATK",name:"钢铁之心","detail":"“钢铁圣教军”奥蕾娜的祝福之铠最终传给了她的徒弟，后者也自豪地随时将其穿戴在身。尽管她继承了师父的名号，但她后来还是以另外一个完全不同的称号闻名于世。—阿卜杜·哈兹尔《圣教军》。",myclass:"ordin",getMoney:"500",imgPath:"equi/110.png"},
{type:"wea",code:"111",belone:"ATK",name:"血歌锁甲","detail":"鳞片的沙沙声就像一滩鲜血洒在地上。",myclass:"ordin",getMoney:"600",imgPath:"equi/111.png"},
{type:"wea",code:"112",belone:"ATK",name:"征服者胸甲","detail":"征服世界的一切。",myclass:"ordin",getMoney:"500",imgPath:"equi/112.png"},
{type:"wea",code:"113",belone:"ATK",name:"黄金之肤","detail":"金色的光芒冲散了邪恶之地的黑暗。",myclass:"ordin",getMoney:"550",imgPath:"equi/113.png"},
{type:"wea",code:"114",belone:"ATK",name:"莱德瑞姆之氅","detail":"莱德瑞姆是一个鲜为人知的法师组织，一直致力于研究最为高深莫测的魔法，但其成员后来全都神秘惨死。",myclass:"ordin",getMoney:"600",imgPath:"equi/114.png"},
{type:"wea",code:"115",belone:"ATK",name:"泰瑞尔之力","detail":"“看啊，正义天使为奈非天投下了神圣的一票。”—《王公之书》卷三。",myclass:"ordin",getMoney:"700",imgPath:"equi/115.png"},
{type:"wea",code:"116",belone:"ATK",name:"幻影斗篷","detail":"这件光彩熠熠的披风是用星辉蝴蝶的蛹丝编织而成，流光溢彩、令人眩目，如同沙漠中升起的蜃楼一般。",myclass:"ordin",getMoney:"600",imgPath:"equi/116.png"},
{type:"wea",code:"117",belone:"ATK",name:"黑羽","detail":这件披风与脍炙人口的童话故事《约基与巨人》中的英雄主角所穿戴的那件披风完全相像。",myclass:"ordin",getMoney:"700",imgPath:"equi/117.png"},
{type:"wea",code:"118",belone:"ATK",name:"远行的召唤","detail":"贝金赛尔在黑夜传说中弑魔时所穿的风衣。",myclass:"ordin",getMoney:"650",imgPath:"equi/118.png"},
{type:"wea",code:"119",belone:"ATK",name:"加沃夫的披风","detail":"与狼共舞者的披风。",myclass:"ordin",getMoney:"700",imgPath:"equi/119.png"},
{type:"wea",code:"120",belone:"ATK",name:"暗夜斗篷","detail":"“行凶作恶之人常为胆小迷信之辈。”—猎魔人贝恩。",myclass:"green",getMoney:"800",imgPath:"equi/120.png"},
{type:"wea",code:"121",belone:"ATK",name:"冷月黑光铠","detail":"冷月无声，黑光闪烁。神策军所藏宝物，妙手空空柳公子窃之再弃。",myclass:"green",getMoney:"800",imgPath:"equi/121.png"},
{type:"wea",code:"122",belone:"ATK",name:"瑶池冰丝衣","detail":"孤烟瑶池寒，残叶冰丝白。相传乃采瑶池冰丝制成，极寒之甲，穿者必须具备一定功力。",myclass:"green",getMoney:"800",imgPath:"equi/122.png"},
{type:"wea",code:"123",belone:"ATK",name:"玉腾无思衫","detail":"无一丝闲愁，只思丹青难貌，玉华升腾。",myclass:"green",getMoney:"800",imgPath:"equi/123.png"},
{type:"wea",code:"124",belone:"ATK",name:"凌渡佛关","detail":"心若怀佛关，焉能凌渡去？渡会下山俗世修行所穿之衣，却因此红尘深种而毕生无法领悟到至高佛学。",myclass:"green",getMoney:"800",imgPath:"equi/124.png"},
{type:"wea",code:"125",belone:"ATK",name:"水华裳","detail":"相传为仙人集水华以为裳。",myclass:"green",getMoney:"900",imgPath:"equi/125.png"},
{type:"wea",code:"126",belone:"ATK",name:"升龙袍","detail":"矫矫渊下龙，升腾惊风雷。",myclass:"green",getMoney:"900",imgPath:"equi/126.png"},
{type:"wea",code:"127",belone:"ATK",name:"阿普陀法单","detail":"厚实的布质，但光滑柔软，布料绝对上乘。",myclass:"green",getMoney:"1000",imgPath:"equi/127.png"},
{type:"wea",code:"128",belone:"ATK",name:"断雁西风","detail":"羁客莫忆天竺乡，断雁西风又一年。",myclass:"green",getMoney:"1000",imgPath:"equi/128.png"},
{type:"wea",code:"129",belone:"ATK",name:"月华流彩衣","detail":"此物为江南宝物，传为当年七秀坊公孙大娘用天蚕丝、金缕和月华线亲手制成，当有月光照到此衣时，便如水波一样光彩流溢。",myclass:"green",getMoney:"900",imgPath:"equi/129.png"},
{type:"wea",code:"130",belone:"ATK",name:"首陀罗批单","detail":"布质上乘，传说有神力庇佑。",myclass:"blue",getMoney:"1100",imgPath:"equi/130.png"},
{type:"wea",code:"131",belone:"ATK",name:"无上方单","detail":"一块很大的布匹，色泽鲜亮。",myclass:"blue",getMoney:"1100",imgPath:"equi/131.png"},
{type:"wea",code:"132",belone:"ATK",name:"耶迦凯卡那战批","detail":"特殊布料制成，刀砍斧劈不留痕迹。",myclass:"blue",getMoney:"1100",imgPath:"equi/132.png"},
{type:"wea",code:"133",belone:"ATK",name:"平雪无痕","detail":"平雪无痕灵气杳，枯坐禅堂心魔袭。",myclass:"blue",getMoney:"1100",imgPath:"equi/133.png"},
{type:"wea",code:"134",belone:"ATK",name:"凤舞九霄","detail":"天竺古物，据说以大鹏金翅鸟迦楼罗身上的五彩羽毛制成。",myclass:"blue",getMoney:"1100",imgPath:"equi/134.png"},
{type:"wea",code:"135",belone:"ATK",name:"流影·千年","detail":"洞中方七日，世上已千年。据说为陈抟长睡不起时所穿之衣。",myclass:"blue",getMoney:"1100",imgPath:"equi/135.png"},
{type:"wea",code:"136",belone:"ATK",name:"剑茗·锋镝铠","detail":"揽弓锋鸣镝，长驱上南山。天策府所藏宝物之一，相传为春秋楚国百步穿杨养由基之物。",myclass:"blue",getMoney:"1100",imgPath:"equi/136.png"},
{type:"wea",code:"137",belone:"ATK",name:"虎魄·云愁裳","detail":"白云千载空悠悠，烟波江上使人愁。相传是范蠡因西子捧心而怜惜不已，献上此物望博美人一笑。",myclass:"blue",getMoney:"1200",imgPath:"equi/137.png"},
{type:"wea",code:"138",belone:"ATK",name:"天晶·青玫裳","detail":"据说是花仙于晨曦之时采青玫之精所造。",myclass:"blue",getMoney:"1100",imgPath:"equi/138.png"},
{type:"wea",code:"139",belone:"ATK",name:"泣天·度世袍","detail":"佛说无量寿经曰：“能度诸世间。”。",myclass:"blue",getMoney:"1200",imgPath:"equi/139.png"},
{type:"wea",code:"140",belone:"ATK",name:"残月·净梵甲","detail":"少林证道院静修梵行之物。",myclass:"pink",getMoney:"1500",imgPath:"equi/140.png"},
{type:"wea",code:"141",belone:"ATK",name:"天罪·寒杉甲","detail":"落落盘踞根下地，冥冥傲杉敌凛风。采极北之地千年寒杉之皮为原料制作而成。",myclass:"pink",getMoney:"1500",imgPath:"equi/141.png"},
