[{type:"wea",code:"500",belone:"ATK",name:"侍君","detail":"据说此乃魏征之物。",myclass:"broke",getMoney:"300",imgPath:"equi/500.png"},
{type:"wea",code:"501",belone:"ATK",name:"狂龙笑","detail":"蜀守李冰治水时曾击杀狂龙老蹇，剥其皮制成此物。",myclass:"broke",getMoney:"350",imgPath:"equi/501.png"},
{type:"wea",code:"502",belone:"ATK",name:"八叶荷托","detail":"“万花谷花圣花宇晴以水月潭独有八叶荷制成此物，后被宫傲抢走”。",myclass:"broke",getMoney:"350",imgPath:"equi/5	02.png"},
{type:"wea",code:"503",belone:"ATK",name:"蟠溪","detail":"相传为东晋溪族人陶侃之物，绣有蟠龙，栩栩如生。",myclass:"broke",getMoney:"400",imgPath:"equi/503.png"},
{type:"wea",code:"504",belone:"ATK",name:"藏玉","detail":"藏玉怀瑾，一鸣惊人。",myclass:"broke",getMoney:"350",imgPath:"equi/504.png"},
{type:"wea",code:"505",belone:"ATK",name:"摆舞","detail":"战魂舞长空，猛志凌四海。",myclass:"broke",getMoney:"450",imgPath:"equi/505.png"},
{type:"wea",code:"506",belone:"ATK",name:"愁落轻尘","detail":"当时惘然今难追，愁落轻尘暗恨生。",myclass:"broke",getMoney:"450",imgPath:"equi/506.png"},
{type:"wea",code:"507",belone:"ATK",name:"席慕","detail":"人传欢负情，我自未尝见。三更开门去，始知子夜变。",myclass:"broke",getMoney:"500",imgPath:"equi/507.png"},
{type:"wea",code:"508",belone:"ATK",name:"颜笼烟","detail":"“濒荷叶罗裙一色裁，素颜如蓉笼轻烟。",myclass:"broke",getMoney:"500",imgPath:"equi/508.png"},
{type:"wea",code:"509",belone:"ATK",name:"巧妆","detail":""蓝田日暖玉生烟，琢磨成粉巧妆成。据说制作此物时，加入了稀世蓝田玉精。",myclass:"broke",getMoney:"500",imgPath:"equi/509.png"},
{type:"wea",code:"510",belone:"ATK",name:"沧海百纳袴","detail":"“海纳百川，有容乃大。",myclass:"ordin",getMoney:"500",imgPath:"equi/510.png"},
{type:"wea",code:"511",belone:"ATK",name:"恨不逢","detail":"来往不逢人，恨歌难相传。",myclass:"ordin",getMoney:"600",imgPath:"equi/511.png"},
{type:"wea",code:"512",belone:"ATK",name:"逐鹿护腿","detail":"逐鹿中原，雄心万丈。",myclass:"ordin",getMoney:"500",imgPath:"equi/512.png"},
{type:"wea",code:"513",belone:"ATK",name:"萧史乘龙装","detail":"萧史乘龙，弄玉乘凤。龙起逸天路，凤起出秦关。",myclass:"ordin",getMoney:"550",imgPath:"equi/513.png"},
{type:"wea",code:"514",belone:"ATK",name:"镇虏装","detail":"岂将版筑功，万里震胡虏。",myclass:"ordin",getMoney:"600",imgPath:"equi/514.png"},
{type:"wea",code:"515",belone:"ATK",name:"越仙虹","detail":"据说此乃彩虹仙子以霓霞编织而成之物。",myclass:"ordin",getMoney:"700",imgPath:"equi/515.png"},
{type:"wea",code:"516",belone:"ATK",name:"魔焰吞佛","detail":"湿婆起舞日，魔焰吞佛，世界破灭。据说此乃破坏神湿婆之物。",myclass:"ordin",getMoney:"600",imgPath:"equi/516.png"},
{type:"wea",code:"517",belone:"ATK",name:"语风铃","detail":轻颦无语，今朝无处觅归路。萧瑟风铃，昨夜谁人唤羁魂。",myclass:"ordin",getMoney:"700",imgPath:"equi/517.png"},
{type:"wea",code:"518",belone:"ATK",name:"红莲烬土","detail":"据说此物来自八寒地狱之大红莲。入大红莲者，严寒逼切，身变折裂，如大红莲华。",myclass:"ordin",getMoney:"650",imgPath:"equi/518.png"},
{type:"wea",code:"519",belone:"ATK",name:"邪剃众生","detail":"五浊凡夫难离垢，我以我邪剃众生。",myclass:"ordin",getMoney:"700",imgPath:"equi/519.png"},
{type:"wea",code:"520",belone:"ATK",name:"留萍踪","detail":"“萍踪难留梵王边，莫道有缘却无缘。",myclass:"green",getMoney:"800",imgPath:"equi/520.png"},
{type:"wea",code:"521",belone:"ATK",name:"七彩云霓","detail":"云霓七彩，明灭或可睹。相传为织女集七彩云霓编织而成。",myclass:"green",getMoney:"800",imgPath:"equi/521.png"},
{type:"wea",code:"522",belone:"ATK",name:"迷沙幻云裤","detail":"迷沙浩荡八千丈，幻云微茫忽已暝。此物材质特别，外表如覆迷沙，轻柔如幻云。",myclass:"green",getMoney:"800",imgPath:"equi/522.png"},
{type:"wea",code:"523",belone:"ATK",name:"清斋裂素装","detail":"清斋三千日，裂素写道经，逍遥纵意哉。",myclass:"green",getMoney:"800",imgPath:"equi/523.png"},
{type:"wea",code:"524",belone:"ATK",name:"罗敷束腿","detail":"陌上采桑女，邯郸倾城装。但使罗敷在，魂牵少年郎。",myclass:"green",getMoney:"800",imgPath:"equi/524.png"},
{type:"wea",code:"525",belone:"ATK",name:"绿珠殇","detail":"绿珠犹得石崇怜，飞燕曾经汉皇宠。",myclass:"green",getMoney:"900",imgPath:"equi/525.png"},
{type:"wea",code:"526",belone:"ATK",name:"棹歌流裳","detail":"此裳初为西湖中的舟子舞棹行歌，后方乾在西湖游览，见此裳如见至宝，以随身所带的东海玉佩换得，后藏于天子峰。",myclass:"green",getMoney:"900",imgPath:"equi/526.png"},
