[{type:"wea",code:"400",belone:"ATK",name:"鎏金锦帽","detail":"鎏金为饰，锦绣华丽。",myclass:"broke",getMoney:"300",imgPath:"equi/400.png"},
{type:"wea",code:"401",belone:"ATK",name:"织羽长心","detail":"相传以丹雀之羽织成，穿之能清心静气。万花谷之物，后为宫傲所盗。",myclass:"broke",getMoney:"350",imgPath:"equi/401.png"},
{type:"wea",code:"402",belone:"ATK",name:"真王帽","detail":"“相传为唐太宗李世民之物”。",myclass:"broke",getMoney:"350",imgPath:"equi/402.png"},
{type:"wea",code:"403",belone:"ATK",name:"六合无双帽","detail":"秦王扫六合，虎视何雄哉！相传为秦始皇之物。",myclass:"broke",getMoney:"400",imgPath:"equi/403.png"},
{type:"wea",code:"404",belone:"ATK",name:"明珠求瑕","detail":"明珠本无暇，肉眼何以觅。",myclass:"broke",getMoney:"350",imgPath:"equi/404.png"},
{type:"wea",code:"405",belone:"ATK",name:"沧海飞尘冠","detail":"万花谷之物，后被宫傲所盗。",myclass:"broke",getMoney:"450",imgPath:"equi/405.png"},
{type:"wea",code:"406",belone:"ATK",name:"东珠朝阳帽","detail":"镶有一颗硕大的东海珍珠，据说为鲛人有见朝阳之美时流下之泪所化。",myclass:"broke",getMoney:"450",imgPath:"equi/406.png"},
{type:"wea",code:"407",belone:"ATK",name:"五彩祥束带","detail":"五彩之色，据说戴上此物能使你趋吉避凶。",myclass:"broke",getMoney:"500",imgPath:"equi/407.png"},
{type:"wea",code:"408",belone:"ATK",name:"琼楼玉面巾","detail":"“天仙偶厌住琼楼，乞得人间一度游。相传此为仙人遗留凡间之物。",myclass:"broke",getMoney:"500",imgPath:"equi/408.png"},
{type:"wea",code:"409",belone:"ATK",name:"铁壁帽","detail":""繁华事散尘念灭，流水无情草自春。唐玄宗御赐少林方丈玄正之物，以示兄弟之谊。",myclass:"broke",getMoney:"500",imgPath:"equi/409.png"},
{type:"wea",code:"410",belone:"ATK",name:"云羲盔","detail":"“钟离权流传宝物之一，在阳光照射下能幻化出朦胧云气。",myclass:"ordin",getMoney:"500",imgPath:"equi/410.png"},
{type:"wea",code:"411",belone:"ATK",name:"绛霄冠","detail":"色如绛霄，美轮美奂，据说制成之后连续七个满月之夜自行吸取月华，可称神物。",myclass:"ordin",getMoney:"600",imgPath:"equi/411.png"},
{type:"wea",code:"412",belone:"ATK",name:"瑶歌冠","detail":"瑶池阿母绮窗开，黄竹歌声动地哀。",myclass:"ordin",getMoney:"500",imgPath:"equi/412.png"},
{type:"wea",code:"413",belone:"ATK",name:"桑雨帽","detail":"据说为妙匠采空桑山雨桑之根编织而成，有焕发精神之奇效。",myclass:"ordin",getMoney:"550",imgPath:"equi/413.png"},
