[{type:"wea",code:"300",belone:"ATK",name:"云容","detail":"云想衣裳花想容，春风拂槛露华浓。",myclass:"broke",getMoney:"300",imgPath:"equi/300.png"},
{type:"wea",code:"301",belone:"ATK",name:"龙离","detail":"苍龙有意归离卧，白虎多情觅坎行。",myclass:"broke",getMoney:"350",imgPath:"equi/301.png"},
{type:"wea",code:"302",belone:"ATK",name:"金丝戒","detail":"“上古之物，雕有柳叶之纹”。",myclass:"broke",getMoney:"350",imgPath:"equi/302.png"},
{type:"wea",code:"303",belone:"ATK",name:"皇宇扳指","detail":"鹿骨所制，浅褐之色昭示着此戒年代久远。",myclass:"broke",getMoney:"400",imgPath:"equi/303.png"},
{type:"wea",code:"304",belone:"ATK",name:"断念","detail":"戴此戒者，应断一切尘念。",myclass:"broke",getMoney:"350",imgPath:"equi/304.png"},
{type:"wea",code:"305",belone:"ATK",name:"飞翠","detail":"仔细凝望这枚戒指，你彷佛感受到一抹飘渺却又令人浮想联翩的飞翠。",myclass:"broke",getMoney:"450",imgPath:"equi/305.png"},
{type:"wea",code:"306",belone:"ATK",name:"泪泉","detail":"昔日横波目，今作流泪泉。",myclass:"broke",getMoney:"450",imgPath:"equi/306.png"},
{type:"wea",code:"307",belone:"ATK",name:"披霜","detail":"霜罗曳曳，云锦披披。",myclass:"broke",getMoney:"500",imgPath:"equi/307.png"},
{type:"wea",code:"308",belone:"ATK",name:"忘言","detail":"“据说共工撞断不周山后，女娲于山中灵气凝聚之处觅得此物，遂名“天殇痕”。",myclass:"broke",getMoney:"500",imgPath:"equi/308.png"},
{type:"wea",code:"309",belone:"ATK",name:"那伽定","detail":""那伽常定，湛寂常恒。",myclass:"broke",getMoney:"500",imgPath:"equi/309.png"},
{type:"wea",code:"310",belone:"ATK",name:"疏影","detail":"“据说此戒乃罗浮山梅花仙子赠予隋代赵师雄之物。",myclass:"ordin",getMoney:"500",imgPath:"equi/310.png"},
{type:"wea",code:"311",belone:"ATK",name:"三色铜","detail":"由白铜、黄铜、红铜三种不同颜色的铜精心打制而成。",myclass:"ordin",getMoney:"600",imgPath:"equi/311.png"},
{type:"wea",code:"312",belone:"ATK",name:"洞天","detail":"像是骨质，但比寻常骨质通透许多，似有彩光闪烁。",myclass:"ordin",getMoney:"500",imgPath:"equi/312.png"},
{type:"wea",code:"313",belone:"ATK",name:"凌寒","detail":"雕有梅花之纹，据说戴了能不畏严寒。",myclass:"ordin",getMoney:"550",imgPath:"equi/313.png"},
{type:"wea",code:"314",belone:"ATK",name:"梵音绝","detail":"天竺僧人所携之宝，传为天竺国匠人用宝石雕刻而成，上有九个大小不一孔隙，孔隙中还嵌有不同的金丝和碎钻，有风时可以听到阵阵的梵音低鸣，为迦兰圣物。",myclass:"ordin",getMoney:"600",imgPath:"equi/314.png"},
{type:"wea",code:"315",belone:"ATK",name:"天竺印","detail":"“天竺极为稀有的血印石制成，上刻有梵文，为迦兰僧首领信物，不须印泥，便可在纸上留下印文。",myclass:"ordin",getMoney:"700",imgPath:"equi/315.png"},
{type:"wea",code:"316",belone:"ATK",name:"离宫剑芒","detail":"内聚五行真气，外采天灵地宝，飞仙剑诛敌于千里之外。",myclass:"ordin",getMoney:"600",imgPath:"equi/316.png"},
{type:"wea",code:"317",belone:"ATK",name:"花褪残红","detail":笑渐不闻声渐悄，多情却被多情恼。塔纳之主唐书雁被初炼成尸人时遗失之戒，据说是柳静海相赠之定情信物。",myclass:"ordin",getMoney:"700",imgPath:"equi/317.png"},
{type:"wea",code:"318",belone:"ATK",name:"沙鳞蟠龙指","detail":"战罢蟠龙三百万，鳞洒如沙满天飞。李世民御赐秦琼之戒，以示其勇武之风。",myclass:"ordin",getMoney:"650",imgPath:"equi/318.png"},
{type:"wea",code:"319",belone:"ATK",name:"檀那婆的泪滴","detail":"传说檀那婆大神在与妻子生下33个恶魔后痛哭而落下一滴泪，这泪落地后凝固，颜色如深海的蔚蓝。”俄见天门洞开，琼楼玉宇灿然，月中仙女翩然下凡赠翟乾祜此物。",myclass:"ordin",getMoney:"700",imgPath:"equi/319.png"},
{type:"wea",code:"320",belone:"ATK",name:"咏雪白月环","detail":"“霜天冷，雪飘絮，白月池影渐冻。",myclass:"green",getMoney:"800",imgPath:"equi/320.png"},
{type:"wea",code:"321",belone:"ATK",name:"清露回春环","detail":"此戒乃上古异物，可凝聚朝露，戴之者有如沐春风之感。",myclass:"green",getMoney:"800",imgPath:"equi/321.png"},
{type:"wea",code:"322",belone:"ATK",name:"春风拂槛戒","detail":"春风又拂槛，明月照我还。",myclass:"green",getMoney:"800",imgPath:"equi/322.png"},
{type:"wea",code:"323",belone:"ATK",name:"烟涛微茫戒","detail":"据说是海客偶得之瀛洲宝戒。",myclass:"green",getMoney:"800",imgPath:"equi/323.png"},
{type:"wea",code:"324",belone:"ATK",name:"风雅摩提","detail":"天竺古物。",myclass:"green",getMoney:"800",imgPath:"equi/324.png"},
{type:"wea",code:"325",belone:"ATK",name:"冲霄指环","detail":"冲霄鸿鹄谁争先，静修纯阳安自然。白日飞升惊鬼神，悠然直上九重天。",myclass:"green",getMoney:"900",imgPath:"equi/325.png"},
{type:"wea",code:"326",belone:"ATK",name:"太霄戒指","detail":"据说此物乃太霄天一星辰坠入凡间所化。",myclass:"green",getMoney:"900",imgPath:"equi/326.png"},
{type:"wea",code:"327",belone:"ATK",name:"须弥戒指","detail":"据说此坠内藏须弥山之镜像。",myclass:"green",getMoney:"1000",imgPath:"equi/327.png"},
{type:"wea",code:"328",belone:"ATK",name:"碧潮戒","detail":"碧潮连海平，海上明月生。相传为公孙幽得于海外荒岛之物。",myclass:"green",getMoney:"1000",imgPath:"equi/328.png"},
{type:"wea",code:"329",belone:"ATK",name:"建武指环","detail":"唐太宗李世民赠予天策府之物。",myclass:"green",getMoney:"900",imgPath:"equi/329.png"},
{type:"wea",code:"330",belone:"ATK",name:"冲虚指环","detail":"冲虚悟空，万法归宗。收心入静，法在其中。",myclass:"blue",getMoney:"1100",imgPath:"equi/330.png"},
{type:"wea",code:"331",belone:"ATK",name:"清霄戒指","detail":"飘縞羽於清霄兮，拟妙姿於白雪。",myclass:"blue",getMoney:"1100",imgPath:"equi/331.png"},
