[{type:"wea",code:"800",belone:"ATK",name:"裹手","detail":"裹手，最初级防具，随处可见，普通至极。",myclass:"broke",getMoney:"300",imgPath:"equi/800.png"},
{type:"wea",code:"801",belone:"ATK",name:"布手套","detail":"粗布制成的手套，防御力一般。",myclass:"broke",getMoney:"350",imgPath:"equi/801.png"},
{type:"wea",code:"802",belone:"ATK",name:"缠绕手套","detail":"镔铁打造的手镯，具有良好的防御能力”。",myclass:"broke",getMoney:"350",imgPath:"equi/802.png"},
{type:"wea",code:"803",belone:"ATK",name:"鹰眼护手","detail":"铭刻着鹰眼图腾的护手，具有极佳的防御能力。",myclass:"broke",getMoney:"400",imgPath:"equi/803.png"},
{type:"wea",code:"804",belone:"ATK",name:"钉刺手套","detail":"闪着寒光的钉刺无疑在战斗中能对佩带者起一点保护。",myclass:"broke",getMoney:"350",imgPath:"equi/804.png"},
{type:"wea",code:"805",belone:"ATK",name:"虔敬手套","detail":"镶嵌红宝石的银色护手，借由虔诚的祈祷，能够为佩戴者带来好运和守护。",myclass:"broke",getMoney:"450",imgPath:"equi/805.png"},
{type:"wea",code:"806",belone:"ATK",name:"辉煌手套","detail":"黄金打造的高级护手，护身发出淡淡的光芒。是身份与地位的重要象征。",myclass:"broke",getMoney:"450",imgPath:"equi/806.png"},
{type:"wea",code:"807",belone:"ATK",name:"飞煌护手","detail":"镶嵌着金色羽翼的华丽护手，由卡诺萨王朝最著名的工匠打造而成，被用于赐给受封的圣骑士。",myclass:"broke",getMoney:"500",imgPath:"equi/807.png"},
{type:"wea",code:"808",belone:"ATK",name:"蛇纹手套","detail":"传说这条护手曾被最黑暗邪恶的预言所诅咒，来自纳邦德尔的纯净力量却让它重获新生，成为一种非常实用的魔力装备。",myclass:"broke",getMoney:"500",imgPath:"equi/808.png"},
{type:"wea",code:"809",belone:"ATK",name:"惊风怒雪","detail":"戴此物出招时，威力惊人，有如惊风卷地百草折，怒雪漫天大河封。",myclass:"broke",getMoney:"500",imgPath:"equi/809.png"},
{type:"wea",code:"810",belone:"ATK",name:"纤云弄月","detail":"纤云阻明月之辉，取以小博大之意。",myclass:"ordin",getMoney:"500",imgPath:"equi/810.png"},
{type:"wea",code:"811",belone:"ATK",name:"清秋残影","detail":"此护手为铸器大师取秋水所铸，内蕴秋魂，使用时出招迅捷，唯见残影。",myclass:"ordin",getMoney:"600",imgPath:"equi/811.png"},
{type:"wea",code:"812",belone:"ATK",name:"万古绝尘","detail":"留万古馀想，超然绝尘去。据说乃剑圣中年所用护手。",myclass:"ordin",getMoney:"500",imgPath:"equi/812.png"},
{type:"wea",code:"813",belone:"ATK",name:"加尔达的羽毛","detail":"大法王所赐，虽说名字的解释为传说中大神座骑的羽毛，五彩斑斓，形状硕大，但实际是大唐所出。",myclass:"ordin",getMoney:"550",imgPath:"equi/813.png"},
{type:"wea",code:"814",belone:"ATK",name:"阿哇陀那的莲花瓣","detail":"传说由天神阿哇陀那的神座莲花的花瓣制成，带有浓重的檀香味。",myclass:"ordin",getMoney:"600",imgPath:"equi/814.png"},
{type:"wea",code:"815",belone:"ATK",name:"吠舍的右肩布","detail":"从未用过，崭新但有折痕。",myclass:"ordin",getMoney:"700",imgPath:"equi/815.png"},
{type:"wea",code:"816",belone:"ATK",name:"血麟","detail":"布质厚实坚韧，上面曾沾染了许多江湖好汉的血，但依旧崭新，确实是极品。",myclass:"ordin",getMoney:"600",imgPath:"equi/816.png"},
{type:"wea",code:"817",belone:"ATK",name:"权倾天","detail":相传高力士宣读圣旨时必用，以示皇家之尊贵。",myclass:"ordin",getMoney:"700",imgPath:"equi/817.png"},
{type:"wea",code:"818",belone:"ATK",name:"劳燕护手","detail":"东飞伯劳西飞燕，黄姑织女时相见。",myclass:"ordin",getMoney:"650",imgPath:"equi/818.png"},
{type:"wea",code:"819",belone:"ATK",name:"化城护手","detail":"有形非易测，无源讵可量。",myclass:"ordin",getMoney:"700",imgPath:"equi/819.png"},
{type:"wea",code:"820",belone:"ATK",name:"斩山逆水","detail":"护手上有“云斩山，风逆水”六字。",myclass:"green",getMoney:"800",imgPath:"equi/820.png"},
{type:"wea",code:"821",belone:"ATK",name:"凌剑之手","detail":"相传剑圣以飞廉之皮制成此物，戴之出剑时若有狂风相随。",myclass:"green",getMoney:"800",imgPath:"equi/821.png"},
{type:"wea",code:"822",belone:"ATK",name:"天鹰爪","detail":"造型奇特，彷如天鹰之爪，指尖处锋利异常。",myclass:"green",getMoney:"800",imgPath:"equi/822.png"},
{type:"wea",code:"823",belone:"ATK",name:"蛟尾","detail":"据说以蛟龙尾部之皮制成，极具弹性，非常坚韧。",myclass:"green",getMoney:"800",imgPath:"equi/823.png"},
{type:"wea",code:"824",belone:"ATK",name:"翼德护臂","detail":"宇文敌自诩张飞，是以喜好将张飞之名安于自身。",myclass:"green",getMoney:"800",imgPath:"equi/824.png"},
{type:"wea",code:"825",belone:"ATK",name:"沧海无量","detail":"洛水有神，济无量之沧海。相传为洛神之物。",myclass:"green",getMoney:"900",imgPath:"equi/825.png"},
{type:"wea",code:"826",belone:"ATK",name:"织云绣雨","detail":"相传为仙女以云雨编织而成之物，仙气洋溢。",myclass:"green",getMoney:"900",imgPath:"equi/826.png"},
{type:"wea",code:"827",belone:"ATK",name:"麒麟臂","detail":"据说以麒麟腿部之皮制成，戴者可避趋吉避凶。",myclass:"green",getMoney:"1000",imgPath:"equi/827.png"},
{type:"wea",code:"828",belone:"ATK",name:"太宵风清臂","detail":"据传乃老子采太霄之精制作而成，袖曳一缕，清风飘渺。",myclass:"green",getMoney:"1000",imgPath:"equi/828.png"},
{type:"wea",code:"829",belone:"ATK",name:"寒花联璧袖","detail":"万花谷善织之人有感于谷中寒花香散辉星联璧之美景，此袖遂成。",myclass:"green",getMoney:"900",imgPath:"equi/829.png"},
{type:"wea",code:"830",belone:"ATK",name:"七曜流云手","detail":"如彼七曜，细璧重珠。流云飘摇，披星戴月。",myclass:"blue",getMoney:"1100",imgPath:"equi/830.png"},
{type:"wea",code:"831",belone:"ATK",name:"碧血手镯","detail":"魔法师柯妮娅的闪电剑刺穿魔王古雷斯身体时喷出的血液，玷污了这条高贵的护手，所以每至夜晚，它总会在黑暗中散发幽幽的冥光。",myclass:"blue",getMoney:"1100",imgPath:"equi/831.png"},
{type:"wea",code:"832",belone:"ATK",name:"刹那光华","detail":"转瞬即逝的光辉，却能够赐予拥有者近乎永恒的生命，因此这种手镯在王国训练有素的军队中极其普及且大受欢迎。",myclass:"blue",getMoney:"1100",imgPath:"equi/832.png"},
{type:"wea",code:"833",belone:"ATK",name:"镇恶握","detail":"见佛则拜，见魔即降。慈威并济，折摄兼施。",myclass:"blue",getMoney:"1100",imgPath:"equi/833.png"},
{type:"wea",code:"834",belone:"ATK",name:"水月缘","detail":"水月之缘，似实还虚。纯阳密林别院珍藏之物。",myclass:"blue",getMoney:"1100",imgPath:"equi/834.png"},
{type:"wea",code:"835",belone:"ATK",name:"鬼翼·精钢护手","detail":"专为武者打造而成的护手，看起来有良好的防护作用。",myclass:"blue",getMoney:"1100",imgPath:"equi/835.png"},
{type:"wea",code:"836",belone:"ATK",name:"无影·庇护手套","detail":"磨砺当如百炼坚金，急就者非邃养。",myclass:"blue",getMoney:"1100",imgPath:"equi/836.png"},
{type:"wea",code:"837",belone:"ATK",name:"冥宁·烈焰永恒","detail":"燃烧的火焰环绕着这枚护手。经由对痛苦的承受，能够激发佩戴者的力量。",myclass:"blue",getMoney:"1200",imgPath:"equi/837.png"},
{type:"wea",code:"838",belone:"ATK",name:"黯然·紫电风暴","detail":"紫色的电光环绕着这枚护手。佩戴上它，能够获得雷电的力量。",myclass:"blue",getMoney:"1100",imgPath:"equi/838.png"},
{type:"wea",code:"839",belone:"ATK",name:"鬼阴·光明天兆","detail":" 被魔族奴役的黑暗岁月里，惟有光明的信仰还能支撑起希望。这对象征光明的手镯，将永远激励战士们奋勇向前。”。",myclass:"blue",getMoney:"1200",imgPath:"equi/839.png"},
{type:"wea",code:"840",belone:"ATK",name:"金沙·武神护手","detail":"神秘材料打造的藏有强大力量的护手，只有真正的勇者才有资格佩带它。",myclass:"pink",getMoney:"1500",imgPath:"equi/840.png"},
{type:"wea",code:"841",belone:"ATK",name:"噩魇·末世残垣","detail":"红宝石雕成的眼睛流露着杀气，深邃的纹理诉说着坚毅——这个蛇形的护手正是对勇者之信条最好的诠释。",myclass:"pink",getMoney:"1500",imgPath:"equi/841.png"},
{type:"wea",code:"842",belone:"ATK",name:"挫骨·血海悲歌","detail":"殷红的热血这护手上的宝石里涌动着，从没有丝毫停歇，就像在咏诵着无数豪迈而悲壮的战争史诗。它将赋予所有者以无穷无尽的勇气和力量。",myclass:"pink",getMoney:"1800",imgPath:"equi/842.png"},
{type:"wea",code:"843",belone:"ATK",name:"饲五·翡翠情网","detail":"著名锻造师阿托亚在打造这副护手时，倾入了对远方恋人的一片思念和爱心，翡翠情网因此得名。",myclass:"pink",getMoney:"1700",imgPath:"equi/843.png"},
{type:"wea",code:"844",belone:"ATK",name:"聚怨·属灵蔷薇","detail":"亡灵一族的高级法师以黑暗魔法凝聚而成的护手护手，华丽的外表下隐藏着整个世界的黑暗。",myclass:"pink",getMoney:"1500",imgPath:"equi/844.png"},
{type:"wea",code:"845",belone:"ATK",name:"应声·迷幻魔影","detail":"能够令意志薄弱的佩戴者产生幻觉的神秘护手，具有令人难以置信的力量。",myclass:"pink",getMoney:"1700",imgPath:"equi/845.png"},
{type:"wea",code:"846",belone:"ATK",name:"奠魂·青壁戒严","detail":"一种从古代流传下来的护手，在漫长的岁月里聚集了磅礴的力量，可以抵御世间的一切攻击。",myclass:"pink",getMoney:"1750",imgPath:"equi/846.png"},
{type:"wea",code:"847",belone:"ATK",name:"血心·疆驯鬼眼","detail":"雇佣兵们从死亡的魔族战士身上取下的护手，佩戴者将受到魔力的控制而陷入杀戮的深渊。",myclass:"pink",getMoney:"1800",imgPath:"equi/847.png"},
{type:"wea",code:"848",belone:"ATK",name:"★悲苦符之暗光魂眸:","detail":":用潜伏在砺风戈壁的凶兽格尼斯坚如金属的毛皮铸成，护手混沌中散发的光泽，仿佛凶兽来自地狱的咆哮与诅咒。",myclass:"red",getMoney:"1750",imgPath:"equi/848.png"},
{type:"wea",code:"849",belone:"ATK",name:"★妙喻符之明珠绝然","detail":"得到诸神祝福的护手，若非拥有绝对单纯的内心与思想，一般人很难将其装备在身上。",myclass:"red",getMoney:"1800",imgPath:"equi/849.png"},
{type:"wea",code:"850",belone:"ATK",name:"★空寂符之幻蓝天霞","detail":"被注入神之力量的护手，淡蓝的光芒令恶魔丧失战斗意志。邪恶的人无法拥有它。",myclass:"red",getMoney:"2000",imgPath:"equi/850.png"},
{type:"wea",code:"851",belone:"ATK",name:"★尚法符之魔光凤凰","detail":"铭刻着最强大的封印魔法的护手，护身燃烧着蓝色的火焰。是大陆上人人梦寐以求的至宝。",myclass:"red",getMoney:"2200",imgPath:"equi/851.png"},
{type:"wea",code:"852",belone:"ATK",name:"★净世符之宇宙魅力","detail":"传说佩戴这枚护手的人，将会拥有源源不绝的力量。虔诚的人可以看到佩戴者身上有淡蓝的光芒涌动。",myclass:"red",getMoney:"2500",imgPath:"equi/852.png"},
{type:"wea",code:"853",belone:"ATK",name:"★★净世佛心*深蓝传说（旷世神器）","detail":"取至溺水者之海最深处蕴藏的金属矿石制成，蓝色的条纹和脉脉光晕赋予装备者无上的勇气与信心。",myclass:"purple",getMoney:"2400",imgPath:"equi/853.png"},
{type:"wea",code:"854",belone:"ATK",name:"★★天舞宝轮*空虚之轮（旷世神器）","detail":空虚是所有力量的源头和归宿。这手镯以空虚的本质制造而成，能将魔法的力量大为增幅，化作怒吼的狂澜",myclass:"purple",getMoney:"2500",imgPath:"equi/854.png"},
{type:"wea",code:"455",belone:"ATK",name:"★★★至尊*天狱炼魂凝血尊手（旷世圣器）","detail":"当大陆沉沦在一片混沌的时候，天地初开，远古的伟大神灵创造了天地山河，以神力创造出一套混沌神器，名为天狱，喻示并象征着天狱的和平与正义，并留下了预言，当大陆上有人集齐六件天狱铠甲的时候，圣光将重临大地。",myclass:"purple",getMoney:"4000",imgPath:"equi/855.png"}]
