[{type:"wea",code:"700",belone:"ATK",name:"柳色腰带","detail":"普通粗布腰带，上面绘有河旁飘飘之柳。",myclass:"broke",getMoney:"300",imgPath:"equi/700.png"},
{type:"wea",code:"701",belone:"ATK",name:"如心腰带","detail":"普通布料制成的宽腰带，取万事如意，随心所愿之意。",myclass:"broke",getMoney:"350",imgPath:"equi/701.png"},
{type:"wea",code:"702",belone:"ATK",name:"明骁腰带","detail":"“用潭中水龙皮制成的腰带，可提高自身能力”。",myclass:"broke",getMoney:"350",imgPath:"equi/702.png"},
{type:"wea",code:"703",belone:"ATK",name:"北乾箍环","detail":"上刻七星北斗方位，玄妙异常。",myclass:"broke",getMoney:"400",imgPath:"equi/703.png"},
{type:"wea",code:"704",belone:"ATK",name:"地炎环带","detail":"腰带厚重坚固，传为幽冥烈焰烧制所造，因此得名。",myclass:"broke",getMoney:"350",imgPath:"equi/704.png"},
{type:"wea",code:"705",belone:"ATK",name:"飞天腰环","detail":"传说中为九天玄女所用，火红色，有流苏，危险时刻可作为武器使用。",myclass:"broke",getMoney:"450",imgPath:"equi/705.png"},
{type:"wea",code:"706",belone:"ATK",name:"神碎带","detail":"神秘的缎带，造型奇特，仿似有避邪之文隐现。",myclass:"broke",getMoney:"450",imgPath:"equi/706.png"},
{type:"wea",code:"707",belone:"ATK",name:"七元腰环","detail":"取天地间"日月金木水火土"七种要素精华制成，威力非凡。",myclass:"broke",getMoney:"500",imgPath:"equi/707.png"},
{type:"wea",code:"708",belone:"ATK",name:"碧暮","detail":"“传为不周山落日之色染布而生，名曰碧暮。",myclass:"broke",getMoney:"500",imgPath:"equi/708.png"},
{type:"wea",code:"709",belone:"ATK",name:"殇日","detail":""上古流传下来的神物，据说曾为后羿之物，千古流传，吸收天地精华，神力非常。",myclass:"broke",getMoney:"500",imgPath:"equi/709.png"},
{type:"wea",code:"710",belone:"ATK",name:"天火环带","detail":"“腰带厚重坚固，传为火神用天火烧制所造，因此得名。",myclass:"ordin",getMoney:"500",imgPath:"equi/710.png"},
{type:"wea",code:"711",belone:"ATK",name:"混天环带","detail":"传说中仙子用的腰带，火红色，有流苏，危险时刻可作为武器使用。",myclass:"ordin",getMoney:"600",imgPath:"equi/711.png"},
{type:"wea",code:"712",belone:"ATK",name:"神霄带","detail":"神秘的缎带，造型奇特，可避邪生辉。",myclass:"ordin",getMoney:"500",imgPath:"equi/712.png"},
{type:"wea",code:"713",belone:"ATK",name:"紫霞","detail":"传为不周山之环山彩霞掉落西天生成环带两条，一曰折天，一曰紫霞。",myclass:"ordin",getMoney:"550",imgPath:"equi/713.png"},
{type:"wea",code:"714",belone:"ATK",name:"镇日","detail":"上古流传下来的神物，据说曾为后羿所用，千古流传，吸收天地精华，神力非常。",myclass:"ordin",getMoney:"600",imgPath:"equi/714.png"},
{type:"wea",code:"715",belone:"ATK",name:"暗麟腰带","detail":"传说是用神兽黑暗麒麟的皮所制，能唤起很强的力量。",myclass:"ordin",getMoney:"700",imgPath:"equi/715.png"},
{type:"wea",code:"716",belone:"ATK",name:"七星箍环","detail":"传说七星坠地后，喷溅出的精华制成的箍环。",myclass:"ordin",getMoney:"600",imgPath:"equi/716.png"},
{type:"wea",code:"717",belone:"ATK",name:"地灵环带","detail":由吸取大地灵气的物质制成的环带，灵光闪动。",myclass:"ordin",getMoney:"700",imgPath:"equi/717.png"},
